time,xcord,ycord
01:34:23,0,0
01:34:26,0,0
01:34:29,0,0
01:34:32,0,0
01:34:35,0,0
01:34:38,0,0
01:34:41,0,0
01:34:44,0,0
01:34:47,0,0
01:34:50,0,0
01:34:53,0,0
01:34:56,0,0
01:34:59,0,0
01:35:02,0,0
01:35:05,0,0
01:35:08,0,0
01:35:11,0,0
01:35:14,0,0
01:35:17,0,0
01:35:20,0,0
01:35:23,0,0
01:35:26,0,0
01:35:29,0,0
01:35:32,0,0
01:35:35,0,0
01:35:38,0,0
01:35:42,0,0
01:35:45,0,0
01:35:48,0,0
01:35:51,0,0
01:35:54,0,0
01:35:57,0,0
01:36:00,0,0
01:36:03,0,0
01:36:06,0,0
01:36:09,0,0
01:36:12,0,0
01:36:15,0,0
01:36:18,0,0
01:36:21,0,0
01:36:24,0,0
01:36:27,0,0
01:36:30,0,0
01:36:33,0,0
01:36:36,0,0
01:36:39,0,0
01:36:42,0,0
01:36:45,0,0
01:36:48,0,0
01:36:51,0,0
01:36:54,0,0
01:36:57,0,0
01:37:00,0,0
01:37:03,0,0
01:37:06,0,0
01:37:09,0,0
01:37:12,0,0
01:37:15,0,0
01:37:18,0,0
01:37:21,0,0
01:37:24,0,0
01:37:27,0,0
01:37:30,0,0
01:37:33,0,0
01:37:36,0,0
01:37:39,0,0
01:37:42,0,0
01:37:45,0,0
01:37:48,0,0
01:37:51,0,0
01:37:54,0,0
01:37:57,0,0
01:38:00,0,0
01:38:03,0,0
01:38:06,0,0
01:38:09,0,0
01:38:12,0,0
01:38:15,0,0
01:38:18,0,0
01:38:21,0,0
01:38:24,0,0
01:38:27,0,0
01:38:30,0,0
01:38:34,0,0
01:38:37,0,0
01:38:40,0,0
01:38:43,0,0
01:38:46,0,0
01:38:49,0,0
01:38:52,0,0
01:38:55,0,0
01:38:58,0,0
01:39:01,0,0
01:39:04,0,0
01:39:07,0,0
01:39:10,0,0
01:39:13,0,0
01:39:16,0,0
01:39:19,0,0
01:39:22,0,0
01:39:25,0,0
01:39:28,0,0
01:39:31,0,0
01:39:34,0,0
01:39:37,0,0
01:39:40,0,0
01:39:43,0,0
01:39:46,0,0
01:39:49,0,0
01:39:52,0,0
01:39:55,0,0
01:39:58,0,0
01:40:01,0,0
01:40:04,0,0
01:40:07,0,0
01:40:10,0,0
01:40:13,0,0
01:40:16,0,0
01:40:19,0,0
01:40:22,0,0
01:40:25,0,0
01:40:28,0,0
01:40:31,0,0
01:40:34,0,0
01:40:37,0,0
01:40:40,0,0
01:40:43,0,0
01:40:46,0,0
01:40:49,0,0
01:40:52,0,0
01:40:55,0,0
01:40:58,0,0
01:41:01,0,0
01:41:04,0,0
01:41:07,0,0
01:41:10,0,0
01:41:13,0,0
01:41:16,0,0
01:41:19,0,0
01:41:22,0,0
